clip_id,label,spectral_centroid,spectral_bandwidth,spectral_contrast,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,cqt_1,cqt_2,cqt_3,cqt_4,cqt_5,cqt_6,cqt_7,cqt_8,cqt_9,cqt_10,cqt_11,cqt_12
135776-2-0-49,children_playing,1980.7198012700803,1648.0871869691748,19.865475060466665,-331.23566,70.39295,-33.855747,2.2399004,-35.515812,-4.653637,-18.324343,0.6289341,-10.68004,1.0133936,-4.5873814,-2.45639,-13.625579,0.49519664,0.5257411,0.5336354,0.6422388,0.60000503,0.5912179,0.6351558,0.5552957,0.5323389,0.45843104,0.45109913,0.48792127
46654-6-0-0,gun_shot,2664.481571171448,1461.133378564655,17.73858197679403,-54.55616,20.97614,-87.96811,34.41255,-29.103756,3.6345258,-22.38637,5.3953147,-20.10957,-2.7133682,-7.313785,6.352562,-3.2223234,0.8489114,0.8302388,0.81350154,0.7540073,0.7150269,0.6953599,0.68296576,0.6859915,0.72371995,0.72594666,0.760466,0.7702539
57320-0-0-24,air_conditioner,1838.6474482017393,1861.9225883591273,16.59250966569501,-176.95882,54.797108,-8.732372,60.325043,17.330051,17.156006,4.594248,5.3289695,1.4408662,27.162434,-7.5088267,17.156872,3.7401762,0.78639674,0.7513526,0.73297054,0.80927,0.8623805,0.68282914,0.59366226,0.53080946,0.46952355,0.5921054,0.7431253,0.54278183
134717-0-0-26,air_conditioner,791.9835622266912,1077.0030761939015,18.171109983720644,-165.7895,167.6791,-5.741015,6.413613,-5.2666,-10.955619,-0.74841946,-5.876301,-11.087094,-2.9571412,-15.308904,-17.730675,-25.134441,0.58589786,0.62978894,0.55217713,0.6222469,0.6287668,0.72659713,0.84497994,0.7824818,0.6549477,0.7130434,0.7117993,0.65169746
174276-7-5-0,jackhammer,3166.644193482097,2342.6638786668723,15.526329708786603,-81.661064,24.542429,7.2392044,16.39307,10.14299,8.501063,3.153305,9.168615,-4.740816,16.692516,5.8971095,6.996477,1.0590103,0.5187276,0.58561665,0.31380847,0.26693517,0.5492013,0.31391612,0.3246077,0.3293226,0.27477401,0.86039835,0.5912273,0.7027797
180937-7-2-6,jackhammer,1417.0961802132192,1568.4017372117105,16.275289845756387,-89.183655,115.410324,-27.38543,14.755374,7.6281614,9.465641,4.753876,6.741406,10.193567,-4.604771,-4.079447,0.32052687,-6.883947,0.55070394,0.4548537,0.7666672,0.47418115,0.5501994,0.4407557,0.70434874,0.9839527,0.7323036,0.88993806,0.6059005,0.4383067
17913-4-0-1,drilling,2450.2020772872734,2520.7173040018656,16.211737482144137,-160.21503,78.07526,13.802592,4.255005,13.1497345,5.3546753,12.567058,1.5461577,10.635837,2.9196873,2.666381,6.7700787,2.4949603,0.81977427,0.70524955,0.7937553,0.70340323,0.6463148,0.5888785,0.7073015,0.8149423,0.7436447,0.6035187,0.65733254,0.8807565
103074-7-4-6,jackhammer,2186.5704614227398,2161.6596617687055,16.22907056018007,-143.22365,71.01106,18.878628,14.900729,-3.7446737,3.1721036,-10.232755,17.305449,-8.347144,0.8598582,-2.667601,7.8659816,2.9444764,0.5725949,0.6109008,0.57417256,0.7959562,0.5812951,0.48966023,0.42375603,0.42002243,0.5645034,0.5566454,0.5755263,0.56203294
176787-5-0-9,engine_idling,1091.833026872679,750.6011354274162,19.185408332758453,-243.68233,168.3527,-119.605995,-41.683117,-43.59541,-33.93154,-34.164127,-33.0457,-30.136156,-24.140593,-34.195114,-16.794306,-23.377495,0.7890866,0.7280947,0.6843505,0.8103327,0.6528911,0.67361915,0.6465344,0.7778357,0.8218354,0.62830037,0.72226244,0.62470156
55020-4-0-11,drilling,4673.647181343236,2007.3349235931346,16.143221744080176,-178.13864,-40.47285,28.469261,19.517927,16.63103,14.755547,2.9663224,5.3926196,12.040456,-0.4262234,4.902031,0.23170942,1.7629633,0.7140133,0.70804274,0.67649114,0.58324176,0.60035694,0.65815485,0.69135076,0.6661352,0.66266745,0.682741,0.674142,0.662289
138015-3-0-7,dog_bark,1469.881929330205,1297.7439743441441,19.78646092928847,-321.77475,91.094086,-45.56966,24.139965,27.813581,38.49488,8.401755,-6.7015676,22.758636,22.394802,-16.509527,10.3392515,20.494425,0.5973334,0.7003739,0.6558007,0.52571493,0.42166153,0.43390945,0.36276737,0.41348976,0.6462489,0.4721886,0.53674275,0.29889554
